Airport,Date,Visibility (miles),Ceiling (feet),Flight Rules
ATL,2/1/2024 11:52,10,25000,VFR
ATL,2/1/2024 12:52,10,25000,VFR
ATL,2/1/2024 13:52,10,25000,VFR
ATL,2/1/2024 14:52,10,25000,VFR
ATL,2/1/2024 15:52,10,25000,VFR
ATL,2/1/2024 16:52,10,20000,VFR
ATL,2/1/2024 17:52,10,20000,VFR
ATL,2/1/2024 18:52,10,20000,VFR
ATL,2/1/2024 19:52,10,20000,VFR
ATL,2/1/2024 20:52,10,20000,VFR
ATL,2/1/2024 21:52,10,20000,VFR
ATL,2/1/2024 22:52,10,20000,VFR
ATL,2/1/2024 23:52,10,20000,VFR
ATL,2/2/2024 0:52,10,20000,VFR
ATL,2/2/2024 1:52,10,20000,VFR
ATL,2/2/2024 2:52,10,20000,VFR
ATL,2/2/2024 3:52,10,20000,VFR
ATL,2/2/2024 4:52,10,20000,VFR
ATL,2/2/2024 5:52,10,20000,VFR
ATL,2/2/2024 6:52,10,20000,VFR
ATL,2/2/2024 7:52,10,21000,VFR
ATL,2/2/2024 8:52,10,21000,VFR
ATL,2/2/2024 9:52,10,21000,VFR
ATL,2/2/2024 10:52,10,17000,VFR
ATL,2/2/2024 11:52,10,18000,VFR
ATL,2/2/2024 12:52,10,15000,VFR
ATL,2/2/2024 13:52,10,18000,VFR
ATL,2/2/2024 14:52,10,18000,VFR
ATL,2/2/2024 15:52,10,18000,VFR
ATL,2/2/2024 16:52,10,18000,VFR
ATL,2/2/2024 17:52,10,22000,VFR
ATL,2/2/2024 18:52,10,22000,VFR
ATL,2/2/2024 19:52,10,25000,VFR
ATL,2/2/2024 20:52,10,25000,VFR
ATL,2/2/2024 21:52,10,25000,VFR
ATL,2/2/2024 22:52,10,25000,VFR
ATL,2/2/2024 23:52,10,25000,VFR
ATL,2/3/2024 9:52,10,25000,VFR
ATL,2/3/2024 10:52,10,25000,VFR
ATL,2/3/2024 11:52,10,25000,VFR
ATL,2/3/2024 12:52,10,15000,VFR
ATL,2/3/2024 13:52,10,25000,VFR
ATL,2/3/2024 14:52,10,25000,VFR
ATL,2/3/2024 15:52,10,25000,VFR
ATL,2/3/2024 16:52,10,25000,VFR
ATL,2/3/2024 17:52,10,25000,VFR
ATL,2/3/2024 18:52,10,25000,VFR
ATL,2/3/2024 19:52,10,25000,VFR
ATL,2/3/2024 20:52,10,20000,VFR
ATL,2/3/2024 21:52,10,20000,VFR
ATL,2/3/2024 22:52,10,20000,VFR
