Airport,Date,Visibility (miles),Ceiling (feet),Flight Rules
ATL,1/1/2024 0:52,10,25000,VFR
ATL,1/1/2024 1:52,10,25000,VFR
ATL,1/1/2024 2:52,10,20000,VFR
ATL,1/1/2024 3:52,10,22000,VFR
ATL,1/1/2024 4:52,10,22000,VFR
ATL,1/1/2024 5:52,10,22000,VFR
ATL,1/1/2024 6:52,10,22000,VFR
ATL,1/1/2024 7:52,10,22000,VFR
ATL,1/1/2024 8:52,10,18000,VFR
ATL,1/1/2024 9:52,10,18000,VFR
ATL,1/1/2024 10:52,10,20000,VFR
ATL,1/1/2024 11:52,10,15000,VFR
ATL,1/1/2024 12:52,10,15000,VFR
ATL,1/1/2024 13:52,10,15000,VFR
ATL,1/1/2024 14:52,10,15000,VFR
ATL,1/1/2024 15:52,10,14000,VFR
ATL,1/1/2024 16:52,10,3200,VFR
ATL,1/1/2024 17:52,10,11000,VFR
ATL,1/1/2024 18:52,10,18000,VFR
ATL,1/1/2024 19:52,10,4800,VFR
ATL,1/2/2024 16:52,10,25000,VFR
ATL,1/2/2024 17:52,10,25000,VFR
ATL,1/2/2024 18:52,10,25000,VFR
ATL,1/2/2024 19:52,10,25000,VFR
ATL,1/2/2024 20:52,10,20000,VFR
ATL,1/2/2024 21:52,10,20000,VFR
ATL,1/2/2024 22:52,10,20000,VFR
ATL,1/2/2024 23:52,10,20000,VFR
ATL,1/3/2024 0:52,10,20000,VFR
ATL,1/3/2024 1:52,10,20000,VFR
ATL,1/3/2024 2:52,10,20000,VFR
ATL,1/3/2024 3:52,10,20000,VFR
ATL,1/3/2024 4:52,10,20000,VFR
ATL,1/3/2024 5:52,10,20000,VFR
ATL,1/3/2024 6:52,10,20000,VFR
ATL,1/3/2024 7:52,10,20000,VFR
ATL,1/3/2024 8:52,10,20000,VFR
ATL,1/3/2024 9:52,10,20000,VFR
ATL,1/3/2024 10:52,10,20000,VFR
ATL,1/3/2024 11:52,10,20000,VFR
ATL,1/3/2024 12:52,10,18000,VFR
ATL,1/3/2024 13:52,10,15000,VFR
ATL,1/3/2024 14:52,10,15000,VFR
ATL,1/3/2024 15:52,10,13000,VFR
ATL,1/3/2024 16:52,10,11000,VFR
ATL,1/3/2024 17:52,10,11000,VFR
ATL,1/3/2024 18:52,10,7500,VFR
ATL,1/3/2024 19:52,10,7000,VFR
ATL,1/3/2024 20:52,10,5500,VFR
ATL,1/3/2024 21:52,8,4200,VFR
ATL,1/3/2024 22:52,9,3600,VFR
ATL,1/3/2024 23:52,10,4500,VFR
ATL,1/4/2024 0:52,10,7500,VFR
ATL,1/4/2024 1:52,10,5500,VFR
ATL,1/4/2024 2:52,10,5500,VFR
ATL,1/4/2024 3:52,10,5500,VFR
ATL,1/4/2024 4:52,10,6500,VFR
ATL,1/4/2024 5:52,10,6500,VFR
ATL,1/4/2024 6:52,10,20000,VFR
ATL,1/5/2024 12:52,10,25000,VFR
ATL,1/5/2024 13:52,10,25000,VFR
ATL,1/5/2024 14:52,10,25000,VFR
ATL,1/5/2024 15:52,10,25000,VFR
ATL,1/5/2024 16:52,10,25000,VFR
ATL,1/5/2024 17:52,10,25000,VFR
ATL,1/5/2024 18:52,10,20000,VFR
ATL,1/5/2024 19:52,10,3500,VFR
ATL,1/5/2024 20:52,10,3500,VFR
ATL,1/5/2024 21:52,10,3500,VFR
ATL,1/5/2024 22:52,10,3200,VFR
ATL,1/5/2024 23:52,10,3500,VFR
ATL,1/6/2024 0:52,10,3500,VFR
ATL,1/6/2024 1:52,10,3200,VFR
ATL,1/6/2024 2:31,10,2800,MVFR
ATL,1/6/2024 2:52,10,2400,MVFR
ATL,1/6/2024 3:52,6,1900,MVFR
ATL,1/6/2024 4:52,4,2000,MVFR
ATL,1/6/2024 5:52,3,2000,MVFR
ATL,1/6/2024 6:20,2.5,1900,MVFR
ATL,1/6/2024 6:22,2.5,800,IFR
ATL,1/6/2024 6:34,3,800,VFR
ATL,1/6/2024 6:52,3,800,VFR
ATL,1/6/2024 7:04,2.5,800,IFR
ATL,1/6/2024 7:19,3,600,VFR
ATL,1/6/2024 7:52,4,600,VFR
ATL,1/6/2024 8:52,2.5,500,IFR
ATL,1/6/2024 8:57,5,500,VFR
ATL,1/6/2024 9:52,4,500,VFR
ATL,1/6/2024 10:01,4,400,IFR
ATL,1/6/2024 10:52,5,400,IFR
ATL,1/6/2024 11:52,6,400,IFR
ATL,1/6/2024 12:52,1.5,400,IFR
ATL,1/6/2024 13:52,1.5,400,IFR
ATL,1/6/2024 14:52,1.5,400,IFR
ATL,1/6/2024 15:52,1.5,400,IFR
ATL,1/6/2024 16:52,1.25,400,IFR
ATL,1/6/2024 17:52,1.25,400,IFR
ATL,1/6/2024 18:52,1.25,400,IFR
ATL,1/6/2024 19:04,2,500,IFR
ATL,1/6/2024 19:52,6,600,MVFR
ATL,1/6/2024 20:37,7,800,MVFR
ATL,1/6/2024 20:52,9,800,MVFR
ATL,1/6/2024 21:11,9,1000,MVFR
ATL,1/6/2024 21:33,9,1000,MVFR
ATL,1/6/2024 21:52,9,1100,MVFR
ATL,1/6/2024 22:02,10,1100,MVFR
ATL,1/6/2024 22:39,10,1100,MVFR
ATL,1/6/2024 22:52,10,1100,MVFR
ATL,1/6/2024 23:50,10,1000,MVFR
ATL,1/6/2024 23:52,10,1000,MVFR
ATL,1/7/2024 0:52,10,1000,MVFR
ATL,1/7/2024 1:44,10,1000,MVFR
ATL,1/7/2024 1:52,10,1000,MVFR
