Years (Standard Time),(Multiple Items)
,
Row Labels,Count of Rating Star
B000ULAP4U,3379
B003VWJ2K8,2251
B003VWKPHC,1587
B001MSS6CS,1295
B00FPPQYXM,1287
B009E3EWPI,1192
B002VA464S,985
B002024UDE,942
B005CX4GLE,810
B0018TIADQ,758
B00646MZHK,757
B0040FJ27S,745
B00063678K,691
B0002E1G5C,672
B007HTGP3S,658
B0006NDF8A,652
B001SC4I16,645
B0002H0A3S,640
B004XNK7AI,634
B0002CZW0Y,606
B001PGXHX0,601
B00029MTMQ,599
B0002GLCRC,557
B0002E2KPC,537
B000978D58,524
B005FKF1PY,521
B0002F7K7Y,514
B002Q8V8DM,512
B004Z17008,507
B00ASHQQKI,504
B00D69U1B0,482
B00BWLKTOS,468
B00BFZBMDS,463
B0026RB0G8,444
B003LTJ404,437
B0083FTVB8,418
B00D6CZ1C6,414
B00F0O8SZK,411
B001R76D42,405
B001H42HD6,401
B00BLVOQB6,400
B000ULQTE0,397
B0093REKES,396
B001LJUVO4,394
B0009G1E0K,369
B0002F58TG,365
B005FIFM14,362
B0002OOMU8,362
B00847KFDS,360
B003JJQMD8,359
B007885NOA,357
B004OU2IQG,354
B003B0I09Y,351
B003FRMRC4,339
B00FLDG52I,334
B00B1YOENI,334
B005N4N2GC,331
B0040ICQVO,330
B001QWBM62,329
B005MR6IHK,328
B005CRF060,321
B0007L8BQW,320
B001WLSYW2,319
B004ZKY10Q,314
B000KW2YEI,313
B00EPFCDAG,309
B001AH83UG,308
B0002GXF8Q,306
B000GUR8V8,305
B0042X8XP0,304
B0002E2XCW,304
B0002IHFVM,302
B00004XQ83,300
B001AS6OYC,299
B0001ARCFA,299
B0002F7IIK,298
B0002CZVXM,296
B007IE5QP0,294
B003GEBGA0,294
B000BKY8CU,294
B0002CZSJY,288
B0085M6SUQ,286
B007WCJVH2,284
B0073XCXHA,283
B005PWPUW6,278
B0002FOBJY,277
B003VX1GI8,276
B00466HM28,275
B000BWEM42,275
B0002II6V0,271
B005OZE9SA,270
B0054U46Y2,269
B0002DV7ZM,269
B000EE8YPK,268
B0002E3CHC,266
B007J49GPK,265
B000068NW5,264
B0002D0CEO,264
B0002CZSJO,264
B000VSM4MS,263
B004LLMAWU,261
B002X49732,261
B000NJ2TIE,261
B0052BFLB0,260
B000KIPT30,259
B004444O3W,257
B0002GXZK4,256
B0002GLDQM,255
B000OMG0KI,253
B00CU8OVIM,251
B002RXXOX8,251
B005NACC6M,250
B0049J4O0K,250
B001LU1SFO,249
B004QJOZS4,248
B003W47NII,248
B004QJREXM,247
B00466HLWO,246
B004QL0D74,245
B0002M6CVC,245
B000RNFKEQ,242
B00BYISQTO,241
B0023BYDHK,241
B0002GMGYA,240
B0006NL5SM,239
B005PGGU9O,238
B000XI6O2W,238
B000B6DHB2,237
B000B6FBA2,236
B0002D02IU,236
B00E6Y7NS8,235
B00A716FB0,235
B0002E1O2C,234
B00H8XF9I0,232
B0039OONBQ,232
B0002F52EW,231
B000J5XS3C,230
B000KIHCB2,229
B0002F7IN0,227
B0051WAJ5S,226
B002HPMTZU,226
B00006LVEU,226
B0042EZH6W,224
B002QJVTNA,224
B004MF39YS,222
B0033P1O6S,220
B001BM7TY6,220
B004443DZ2,218
B00006I5SB,218
