Year,Quarter,Revenue
2004,Q1,29343
2004,Q2,30931
2004,Q3,32563
2004,Q4,32779
2005,Q1,33078
2005,Q2,34682
2005,Q3,35758
2005,Q4,36403
2006,Q1,37242
2006,Q2,38408
2006,Q3,39832
2006,Q4,40532
2007,Q1,41131
2007,Q2,41927
2007,Q3,43327
2007,Q4,44199
2008,Q1,44333
2008,Q2,45201
2008,Q3,46341
2008,Q4,46706
2009,Q1,45979
2009,Q2,46551
2009,Q3,47489
2009,Q4,48023
2010,Q1,48463
2010,Q2,48946
2010,Q3,50675
2010,Q4,51151
2011,Q1,52202
2011,Q2,53160
2011,Q3,53843
2011,Q4,55156
2012,Q1,55011
2012,Q2,55385
2012,Q3,56171
2012,Q4,58830
2013,Q1,55956
2013,Q2,57073
2013,Q3,58491
2013,Q4,60938
2014,Q1,60462
2014,Q2,61120
2014,Q3,62078
2014,Q4,66731
2015,Q1,61987
2015,Q2,62554
2015,Q3,62812
2015,Q4,64911
2016,Q1,62584
2016,Q2,63079
2016,Q3,64190
2016,Q4,66445
2017,Q1,61498
2017,Q2,62394
2017,Q3,62594
2017,Q4,67596
2018,Q1,64322
2018,Q2,65876
2018,Q3,68412
2018,Q4,71610
2019,Q1,67695
2019,Q2,67207
2019,Q3,68496
2019,Q4,72716
2020,Q1,68023
2020,Q2,66248
2020,Q3,69395
2020,Q4,75202
2021,Q1,71599
2021,Q2,72227
2021,Q3,72992
2021,Q4,78462
2022,Q1,76603
2022,Q2,75974
2022,Q3,76795
2022,Q4,78781
2023,Q1,75197
2023,Q2,73864
2023,Q3,76281
2023,Q4,81127
