ID,R,Metropolitan_Area,Cost_Living,Jobs,Climate,Health_Care,Recreation
1,2,"New Orleans, LA",54.68,74.78,75.92,91.5,100
2,2,"Cleveland-Lorain-Elyria, OH",21.25,75.07,16.43,84.7,99.71
3,2,"Grand Rapids-Muskegon-Holland, MI",52.7,90.36,6.79,27.19,99.43
4,2,"Long Island, NY",2.27,67.13,81.86,100,99.15
5,2,"Milwaukee-Waukesha, WI",16.72,65.72,15.29,84.98,98.86
6,2,"Norfolk-Virginia Beach-Newport News, VA-NC",44.76,83,69.4,23.79,98.58
7,2,"Rochester, NY",28.05,62.32,34.27,73.37,98.3
8,2,"Tampa-St. Petersburg-Clearwater, FL",79.89,94.33,90.65,77.05,98.01
9,2,"Orlando, FL",70.54,97.45,87.53,57.79,97.73
10,2,"Chicago, IL",9.35,86.96,16.14,81.3,97.16
11,2,"Riverside-San Bernardino, CA",23.52,99.43,97.73,31.72,96.88
12,2,"Detroit, MI",14.74,80.73,30.02,49,96.6
13,2,"Salt Lake City-Ogden, UT",30.32,98.3,62.03,68.83,96.31
14,2,"Minneapolis-St. Paul, MN-WI",21.53,94.61,4.53,93.2,96.03
15,2,"West Palm Beach-Boca Raton, FL",39.67,90.93,88.38,83,95.75
16,1,"Syracuse, NY",37.97,54.39,17.84,78.18,95.46
17,2,"Las Vegas, NV-AZ",38.53,99.71,87.81,24.36,95.18
18,2,"Phoenix-Mesa, AZ",37.68,100,94.33,51.55,94.9
19,2,"Barnstable-Yarmouth, MA",6.24,26.34,75.35,14.16,94.61
20,2,"Sarasota-Bradenton, FL",60.91,92.06,89.8,73.93,94.33
21,2,"Jacksonville, FL",71.39,91.5,86.11,71.38,94.05
22,2,"Charleston-North Charleston, SC",47.6,81.86,83.28,88.66,93.76
23,2,"San Francisco, CA",0.29,66.85,97.45,95.46,93.48
24,2,"Fort Myers-Cape Coral, FL",86.97,85.26,92.91,33.99,93.2
25,2,"Honolulu, HI",0.57,66.28,98.58,62.32,92.91
