Review,cleaned_review
"Negative stars!  I had 4 flights for my family to get home extremely late.  I saw that they had a different one that worked to get us home earlier so I changed to that one for $575.  After getting to the airport, our new flight was delayed and now we will miss our connecting flight home.  They now have us on the original flight home because it's the only one and they won't refund me my 575 dollars that I paid when I changed my flight.  The lady at the kiosk was extremely rude, Joelene was her name.  She had no empathy and refused to take care of me after I called her on her rudeness.  She literally moved on to other customers and ignored me from there.  Delays happen, I get it but putting me back on my original flight home and keeping my 575 is a scam of all scams!!!  Don't use this garbage airline",negative stars flights family get home extremely late saw different one worked get us home earlier changed one getting airport new flight delayed miss connecting flight home us original flight home one wont refund dollars paid changed flight lady kiosk extremely rude joelene name empathy refused take care called rudeness literally moved customers ignored delays happen get putting back original flight home keeping scam scams dont use garbage airline
"Southwest Airlines is a great company and theONLY airline I will fly.  They are polite, considerate, affordable when compared to the others",southwest airlines great company theonly airline fly polite considerate affordable compared others
First and last time flying with this laires. They say that seat assignments are available 24 hours before the flight. Not a good experience.,first last time flying laires say seat assignments available hours flight good experience
Terrible.  Worst flight I’ve ever taken anywhere in the world.  Passenger next to me never put his seat belt on and the cabin crew did not ever check the cabin.  They were too taken up cracking childish jokes as though the whole flight was a joke to them.   Said passenger was also texting and receiving texts during landing.  Airline safety surely isn’t a joke?,terrible worst flight ive ever taken anywhere world passenger next never put seat belt cabin crew ever check cabin taken cracking childish jokes though whole flight joke said passenger also texting receiving texts landing airline safety surely isnt joke
My luggage was irreparably damaged by their baggage handlers whern I arrived at my destination.  I had a dent and a gauge or hole in my luggage. They said the dent was normal wear and tear but the hole was their liability. Do they gave me a voucher for $50 for a future flight. I took my luggage and the repair person said it was not repairable. I complained through Better Business Bureau and this time Southwest went back on their orginal statement and said this was normal wear and tear.  So I am out a lot of money for a new bag. Southwest does not really save you money for any money I saved on the flight will be spent on new luggage. I will never fly Southwest again. I had a similar incident a long time ago with Delta where they put an irreparable hole in my luggage and they paid me for a new bag. Delta maybe more expensive but they are at least honest.,luggage irreparably damaged baggage handlers whern arrived destination dent gauge hole luggage said dent normal wear tear hole liability gave voucher future flight took luggage repair person said repairable complained better business bureau time southwest went back orginal statement said normal wear tear lot money new bag southwest really save money money saved flight spent new luggage never fly southwest similar incident long time ago delta put irreparable hole luggage paid new bag delta maybe expensive least honest
"I have been a faithful customer of Southwest for years and have had mostly good experiences. I'm very disappointed, however, if the recent changes at Southwest - charging for baggage, reducing the length of time that flight credits can be used - I counted on these features. How I'll just start looking at Delta Airlines when I'm traveling.",faithful customer southwest years mostly good experiences im disappointed however recent changes southwest charging baggage reducing length time flight credits used counted features ill start looking delta airlines im traveling
"I had the worst experience flying with Southwest Airlines. My family of five travels together with one large luggage to keep things simple and convenient. However, on our return flight, they charged us an extra $200 because our luggage was exceeding the standard size by just 5 inches. This is absolutely ridiculous! We could have easily checked in 5 smaller bags, each included in the price, but that would have taken up more space in the compartment and added more weight — making this policy clearly about squeezing more money out of customers, not about space or weight. To make matters worse, we weren't charged this fee on the flight in, but only on the way out. They claimed they changed the policy during our vacation, which felt like a total scam. This is pure corporate greed! I will never fly with Southwest again. Avoid this airline at all costs — they are nothing but scammers and crooks!",worst experience flying southwest airlines family five travels together one large luggage keep things simple convenient however return flight charged us extra luggage exceeding standard size inches absolutely ridiculous could easily checked smaller bags included price would taken space compartment added weight making policy clearly squeezing money customers space weight make matters worse werent charged fee flight way claimed changed policy vacation felt like total scam pure corporate greed never fly southwest avoid airline costs nothing scammers crooks
"This review is strictly my opinion.  My review is based upon changes that the airline has made, will make, or probable changes in the future.  SWA continues to devalue Rapid Rewards (as it has done time and time again) and has upcoming plans to further devalue.  They will begin implementing much less fair dynamic points pricing.  This will make their rewards program much less advantageous compared to other airlines.  SWA will begin checked-bag fees.  They have always been ahead of the pack in the past with no bag fees.  This will be going away.   Again, much less advantageous compared with other airlines.  SWA will start assigning seats (which implies charging for seats).  They are becoming their competitors, which is insanely unnecessary. Again, much less advantageous compared with other airlines.  Not only is SWA devaluing their reward points, they may also add expirations to points.  Again, much less advantageous compared with other airlines.  SWA may soon worsen flight credit expiration; which may naturally lead to charges for cancelled or changed flights.  Again, much less advantageous compared with other airlines.  Anticipated future changes are higher obstacles to acquire A-list, A-list preferred, and companion pass status; as well as reducing the perks and value.  SWA may even start charging for carry-on bags.  All of this makes them much less competitive and much less advantageous compared with other airlines.  I believe that they are repeatedly punching the guts of their long-time loyal customers.  None of their changes will inspire loyalty.  These changes will be quite advantageous to the other airlines as customers will be driven away into the waiting arms of the other carriers.  The leadership at SWA has landed themselves into positions that they don't belong in and have absolutely no business in.   It is obvious that SWA is trading long-term success and loyalty for short-term profits.  This is all both sad and maddening.  I hope that the majority share holders can smell the stink of all these changes and kick the current decision makers to the curb.  I wish you all luck with choosing other airlines.",review strictly opinion review based upon changes airline made make probable changes future swa continues devalue rapid rewards done time time upcoming plans devalue begin implementing much less fair dynamic points pricing make rewards program much less advantageous compared airlines swa begin checkedbag fees always ahead pack past bag fees going away much less advantageous compared airlines swa start assigning seats implies charging seats becoming competitors insanely unnecessary much less advantageous compared airlines swa devaluing reward points may also add expirations points much less advantageous compared airlines swa may soon worsen flight credit expiration may naturally lead charges cancelled changed flights much less advantageous compared airlines anticipated future changes higher obstacles acquire alist alist preferred companion pass status well reducing perks value swa may even start charging carryon bags makes much less competitive much less advantageous compared airlines believe repeatedly punching guts longtime loyal customers none changes inspire loyalty changes quite advantageous airlines customers driven away waiting arms carriers leadership swa landed positions dont belong absolutely business obvious swa trading longterm success loyalty shortterm profits sad maddening hope majority share holders smell stink changes kick current decision makers curb wish luck choosing airlines
I purchased EarlyBird Checkin for a total of $40 for one trip. I got B25. They claimed 70 people were ahead of me with priority of A-List and A-List Preferred. I don't believe this at all! This is a scummy airline. Now they're charging for bags when they used to brag about not charging and laugh at other airlines! I'll never fly them again and neither should you. They've gone downhill so fast!Every year since Robert Jordan was promoted to CEO in 2022 there has been a huge controversy. He is in WAY over his head and should be fired!!! He must go!,purchased earlybird checkin total one trip got b claimed people ahead priority alist alist preferred dont believe scummy airline theyre charging bags used brag charging laugh airlines ill never fly neither theyve gone downhill fastevery year since robert jordan promoted ceo huge controversy way head fired must go
Trash airline that makes me give up my seat when I boarded first and now are charging for two bags. I have nothing good to say about this airline and I have been a loyal customer for years. They have lost my bags and treat their customers like garbage. Absolutely do not recommend,trash airline makes give seat boarded first charging two bags nothing good say airline loyal customer years lost bags treat customers like garbage absolutely recommend
