Review,cleaned_review,sentiment
Terrible.  Worst flight I’ve ever taken anywhere in the world.  Passenger next to me never put his seat belt on and the cabin crew did not ever check the cabin.  They were too taken up cracking childish jokes as though the whole flight was a joke to them.   Said passenger was also texting and receiving texts during landing.  Airline safety surely isn’t a joke?,terrible worst flight ive ever taken anywhere world passenger next never put seat belt cabin crew ever check cabin taken cracking childish jokes though whole flight joke said passenger also texting receiving texts landing airline safety surely isnt joke,negative
My luggage was irreparably damaged by their baggage handlers whern I arrived at my destination.  I had a dent and a gauge or hole in my luggage. They said the dent was normal wear and tear but the hole was their liability. Do they gave me a voucher for $50 for a future flight. I took my luggage and the repair person said it was not repairable. I complained through Better Business Bureau and this time Southwest went back on their orginal statement and said this was normal wear and tear.  So I am out a lot of money for a new bag. Southwest does not really save you money for any money I saved on the flight will be spent on new luggage. I will never fly Southwest again. I had a similar incident a long time ago with Delta where they put an irreparable hole in my luggage and they paid me for a new bag. Delta maybe more expensive but they are at least honest.,luggage irreparably damaged baggage handlers whern arrived destination dent gauge hole luggage said dent normal wear tear hole liability gave voucher future flight took luggage repair person said repairable complained better business bureau time southwest went back orginal statement said normal wear tear lot money new bag southwest really save money money saved flight spent new luggage never fly southwest similar incident long time ago delta put irreparable hole luggage paid new bag delta maybe expensive least honest,positive
"I have been a faithful customer of Southwest for years and have had mostly good experiences. I'm very disappointed, however, if the recent changes at Southwest - charging for baggage, reducing the length of time that flight credits can be used - I counted on these features. How I'll just start looking at Delta Airlines when I'm traveling.",faithful customer southwest years mostly good experiences im disappointed however recent changes southwest charging baggage reducing length time flight credits used counted features ill start looking delta airlines im traveling,negative
"I had the worst experience flying with Southwest Airlines. My family of five travels together with one large luggage to keep things simple and convenient. However, on our return flight, they charged us an extra $200 because our luggage was exceeding the standard size by just 5 inches. This is absolutely ridiculous! We could have easily checked in 5 smaller bags, each included in the price, but that would have taken up more space in the compartment and added more weight — making this policy clearly about squeezing more money out of customers, not about space or weight. To make matters worse, we weren't charged this fee on the flight in, but only on the way out. They claimed they changed the policy during our vacation, which felt like a total scam. This is pure corporate greed! I will never fly with Southwest again. Avoid this airline at all costs — they are nothing but scammers and crooks!",worst experience flying southwest airlines family five travels together one large luggage keep things simple convenient however return flight charged us extra luggage exceeding standard size inches absolutely ridiculous could easily checked smaller bags included price would taken space compartment added weight making policy clearly squeezing money customers space weight make matters worse werent charged fee flight way claimed changed policy vacation felt like total scam pure corporate greed never fly southwest avoid airline costs nothing scammers crooks,negative
Paid extra for EarlyBird check-in with Southwest and still got stuck in the C group. Like what did I pay for?? They told me “it doesn’t guarantee anything.” What a scam. Might as well throw money in the trash.,paid extra earlybird checkin southwest still got stuck c group like pay told doesnt guarantee anything scam might well throw money trash,neutral
"This review is strictly my opinion.  My review is based upon changes that the airline has made, will make, or probable changes in the future.  SWA continues to devalue Rapid Rewards (as it has done time and time again) and has upcoming plans to further devalue.  They will begin implementing much less fair dynamic points pricing.  This will make their rewards program much less advantageous compared to other airlines.  SWA will begin checked-bag fees.  They have always been ahead of the pack in the past with no bag fees.  This will be going away.   Again, much less advantageous compared with other airlines.  SWA will start assigning seats (which implies charging for seats).  They are becoming their competitors, which is insanely unnecessary. Again, much less advantageous compared with other airlines.  Not only is SWA devaluing their reward points, they may also add expirations to points.  Again, much less advantageous compared with other airlines.  SWA may soon worsen flight credit expiration; which may naturally lead to charges for cancelled or changed flights.  Again, much less advantageous compared with other airlines.  Anticipated future changes are higher obstacles to acquire A-list, A-list preferred, and companion pass status; as well as reducing the perks and value.  SWA may even start charging for carry-on bags.  All of this makes them much less competitive and much less advantageous compared with other airlines.  I believe that they are repeatedly punching the guts of their long-time loyal customers.  None of their changes will inspire loyalty.  These changes will be quite advantageous to the other airlines as customers will be driven away into the waiting arms of the other carriers.  The leadership at SWA has landed themselves into positions that they don't belong in and have absolutely no business in.   It is obvious that SWA is trading long-term success and loyalty for short-term profits.  This is all both sad and maddening.  I hope that the majority share holders can smell the stink of all these changes and kick the current decision makers to the curb.  I wish you all luck with choosing other airlines.",review strictly opinion review based upon changes airline made make probable changes future swa continues devalue rapid rewards done time time upcoming plans devalue begin implementing much less fair dynamic points pricing make rewards program much less advantageous compared airlines swa begin checkedbag fees always ahead pack past bag fees going away much less advantageous compared airlines swa start assigning seats implies charging seats becoming competitors insanely unnecessary much less advantageous compared airlines swa devaluing reward points may also add expirations points much less advantageous compared airlines swa may soon worsen flight credit expiration may naturally lead charges cancelled changed flights much less advantageous compared airlines anticipated future changes higher obstacles acquire alist alist preferred companion pass status well reducing perks value swa may even start charging carryon bags makes much less competitive much less advantageous compared airlines believe repeatedly punching guts longtime loyal customers none changes inspire loyalty changes quite advantageous airlines customers driven away waiting arms carriers leadership swa landed positions dont belong absolutely business obvious swa trading longterm success loyalty shortterm profits sad maddening hope majority share holders smell stink changes kick current decision makers curb wish luck choosing airlines,negative
I purchased EarlyBird Checkin for a total of $40 for one trip. I got B25. They claimed 70 people were ahead of me with priority of A-List and A-List Preferred. I don't believe this at all! This is a scummy airline. Now they're charging for bags when they used to brag about not charging and laugh at other airlines! I'll never fly them again and neither should you. They've gone downhill so fast!Every year since Robert Jordan was promoted to CEO in 2022 there has been a huge controversy. He is in WAY over his head and should be fired!!! He must go!,purchased earlybird checkin total one trip got b claimed people ahead priority alist alist preferred dont believe scummy airline theyre charging bags used brag charging laugh airlines ill never fly neither theyve gone downhill fastevery year since robert jordan promoted ceo huge controversy way head fired must go,negative
Trash airline that makes me give up my seat when I boarded first and now are charging for two bags. I have nothing good to say about this airline and I have been a loyal customer for years. They have lost my bags and treat their customers like garbage. Absolutely do not recommend,trash airline makes give seat boarded first charging two bags nothing good say airline loyal customer years lost bags treat customers like garbage absolutely recommend,positive
"Southwest Airlines has long prided itself on being different than other airlines: from free checked bags to open seating, many distinguishing factors led me as well as millions of other customers to choose Southwest. That era is sadly at an end. With the adoption of a “penny-wise, pound-foolish” approach, Southwest’s decision to end the aforementioned features will likely result in customers abandoning it for other airlines. I grew up using Southwest, as it is a “family-friendly” airline through the baggage and seating policy. Now, little is left policy-wise to distinguish it from any other airline and the “family-friendly” factor is lost. I highly doubt that I will hear the words “thank you for choosing Southwest” after a flight ever again after they have chosen to shift away from consumers and long-term reputation towards investors and short-term revenue prioritization.",southwest airlines long prided different airlines free checked bags open seating many distinguishing factors led well millions customers choose southwest era sadly end adoption pennywise poundfoolish approach southwests decision end aforementioned features likely result customers abandoning airlines grew using southwest familyfriendly airline baggage seating policy little left policywise distinguish airline familyfriendly factor lost highly doubt hear words thank choosing southwest flight ever chosen shift away consumers longterm reputation towards investors shortterm revenue prioritization,positive
HORRIBLE! Paid premium rates for my whole family to be priority A boarding and they let a whole bunch of people FAKING needing wheelchairs on the plane and my family and I were forced to sit far in the back despite paying premium prices where all the lying lifestyle fat people got to sit in the front seats and they all spread out since the flight wasn’t full so 1 fatty sat in a middle and they refused to move. The early “disabled” boarding should be forced  to the back of the plane.  If someone pays double or triple fare to guarantee front seats they should get their seats!! You lost this frequent flyer forever.,horrible paid premium rates whole family priority boarding let whole bunch people faking needing wheelchairs plane family forced sit far back despite paying premium prices lying lifestyle fat people got sit front seats spread since flight wasnt full fatty sat middle refused move early disabled boarding forced back plane someone pays double triple fare guarantee front seats get seats lost frequent flyer forever,negative
First and last time flying with this laires. They say that seat assignments are available 24 hours before the flight. Seat assignments are nowhere to be found.,first last time flying laires say seat assignments available hours flight seat assignments nowhere found,positive
Worst airline for seating - they have no policy to stop seat saving and the attendants are NO help.  I won't fly southwest again; worst experience flying in years!,worst airline seating policy stop seat saving attendants help wont fly southwest worst experience flying years,negative
"Flight cancelled and the rebooking flight is 12 hours later, have work the next day that im gonna have to miss yet they give no compensation or help for the great inconvinience that this caused. Greatly dissapointed",flight cancelled rebooking flight hours later work next day im gonna miss yet give compensation help great inconvinience caused greatly dissapointed,positive
"Wow, first time flying Southwest and never again. Their business far gives you nothing and then you add $150 for a bag that was 4lbs overweight made it more expensive than flying first class with a premium airline. Rude staff!",wow first time flying southwest never business far gives nothing add bag lbs overweight made expensive flying first class premium airline rude staff,negative
I wouldn't fly with Southwest if it was free.  That's how bad it is.  The flight attendants are so abusive.  I received a credit due to the poor treatment I received but never used it.  Southwest is so bad I actually passed up a free flight.,wouldnt fly southwest free thats bad flight attendants abusive received credit due poor treatment received never used southwest bad actually passed free flight,negative
"Deeply Disappointed - Unprofessional and Unhelpful StaffI am a frequent Southwest flyer, and while I generally appreciate the airline, the Oakland location stands out for all the wrong reasons. The staff here have consistently been the rudest, least helpful airline employees I have encountered--not just within Southwest, but across any airline l've flown.It is abundantly clear that many of them do not want to be there, and unfortunately, they take that frustration out on the very people they are paid to assist-the customers. Their attitude is not just indifferent; it's actively hostile. Rather than providing solutions, they seem determined to find any possible reason to make the travel experience more difficult, whether that means creating unnecessary issues with baggage or simply refusing to be accommodating in even the smallest ways. I have been to this location multiple times and this has been my experience every time.This starkly contrasts with my experiences at Burbank Airport, where the Southwest crew is consistently welcoming, professional, and genuinely helpful. It's disappointing that such a dramatic difference exists within the same airline.Southwest as a company should seriously reevaluate the customer service culture at its Oakland location, because right now, it's doing a disservice to both the airline's reputation and its loyal passengers.",deeply disappointed unprofessional unhelpful staffi frequent southwest flyer generally appreciate airline oakland location stands wrong reasons staff consistently rudest least helpful airline employees encounterednot within southwest across airline lve flownit abundantly clear many want unfortunately take frustration people paid assistthe customers attitude indifferent actively hostile rather providing solutions seem determined find possible reason make travel experience difficult whether means creating unnecessary issues baggage simply refusing accommodating even smallest ways location multiple times experience every timethis starkly contrasts experiences burbank airport southwest crew consistently welcoming professional genuinely helpful disappointing dramatic difference exists within airlinesouthwest company seriously reevaluate customer service culture oakland location right disservice airlines reputation loyal passengers,negative
I generally like Southwest.  However there’s some airline employees that simply are not intelligent.  First we are told that the upper storage is small.  I’ve brought the same bag a dozen times on various plane types but this is a MAX8.  It’s a newer plane and storage is more than ample and was designed that way!!!.  I know she’s wrong but I compact it even more.   She measures it and tells me I need to check it.  So while I know she’s a flaming idiot I comply because it is a commie process and they can decide if you fly or not.  I get on board after checking my bag.  Over the intercom they say that the bins are large.  Ok.  Which is it Southwest?  Shouldn’t the attendants know what the hell they are saying and doing?   Now I have a checked bag because we an have an idiot at the gate who is using an old baggage sizing for an old plane.  Some people just never figured out how to fit the square block in the square hole and are now controlling people that passed that test with flying colors!!!!  Please do something about these people because I’m slowly moving towards delta.   It’s way more convenient but not a direct flight…. It seems it may be worth it though especially when you go to assigned seating… I’m sitting here hating Southwest right now because I have to abide by rude controlling people that are less intelligent then me.,generally like southwest however theres airline employees simply intelligent first told upper storage small ive brought bag dozen times various plane types max newer plane storage ample designed way know shes wrong compact even measures tells need check know shes flaming idiot comply commie process decide fly get board checking bag intercom say bins large ok southwest shouldnt attendants know hell saying checked bag idiot gate using old baggage sizing old plane people never figured fit square block square hole controlling people passed test flying colors please something people im slowly moving towards delta way convenient direct flight seems may worth though especially go assigned seating im sitting hating southwest right abide rude controlling people less intelligent,positive
Do not waste your time or money booking with southwest cruises. The benefits they offer will not happen. I will never ever use this service again.,waste time money booking southwest cruises benefits offer happen never ever use service,negative
Open seating sucks. Boarding technique also horrible. No one checks line jumpers. No 1st class option. Zero premium anything here. Just one large overcrowded pushing and shoving compartment with the most uncomfortable seats of any airline. Fly another carrier if at all possible.,open seating sucks boarding technique also horrible one checks line jumpers st class option zero premium anything one large overcrowded pushing shoving compartment uncomfortable seats airline fly another carrier possible,negative
